0, 1, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00002.png', 5.506588928504403
21, 22, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00023.png', 6.286929316171604
22, 23, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00024.png', 6.79147636307068
23, 24, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00025.png', 5.639926188511373
24, 25, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00026.png', 5.690140767542331
25, 26, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00027.png', 5.74688050196918
26, 27, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00028.png', 5.7411660156205615
27, 28, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00029.png', 5.912498625616609
28, 29, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00030.png', 5.446116007107901
29, 30, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00031.png', 4.8740972568345855
30, 31, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00032.png', 6.266111062062567
31, 32, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00033.png', 5.9960412587840475
32, 33, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00034.png', 5.813925077437803
33, 34, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00035.png', 5.539751434068895
34, 35, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00036.png', 4.950669304956674
35, 36, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00037.png', 6.040337284117013
36, 37, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00038.png', 6.808868218077401
37, 38, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00039.png', 4.9974674069192755
38, 39, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00040.png', 5.537071595105908
39, 40, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00041.png', 5.99762290463263
40, 41, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00042.png', 7.207653344534087
41, 42, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00043.png', 5.5517314707808785
42, 43, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00044.png', 5.711657165426119
43, 44, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00045.png', 5.697220618954252
44, 45, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00046.png', 5.323048959702441
45, 46, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00047.png', 5.046998225836948
46, 47, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00048.png', 5.405391523361184
