0, 1, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00002.png', 5.521873895998145
12, 13, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00013.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00014.png', 6.05437003836868
13, 14, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00014.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00015.png', 5.762922831603437
14, 15, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00015.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00016.png', 5.9204754640411235
15, 16, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00016.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00017.png', 4.74762396403738
16, 17, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00017.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00018.png', 5.37796770434505
17, 18, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00018.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00019.png', 5.208504181046168
18, 19, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00019.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00020.png', 6.040800078612925
19, 20, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00020.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00021.png', 5.065040277679576
20, 21, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00021.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00022.png', 4.278432391182439
21, 22, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00022.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00023.png', 4.938400255175965
22, 23, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00023.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00024.png', 3.7298956640001406
23, 24, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00024.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00025.png', 3.7404255789238237
24, 25, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00025.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00026.png', 4.64427247601776
25, 26, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00026.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00027.png', 4.132342563625504
26, 27, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00027.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00028.png', 4.587349898242957
27, 28, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00028.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00029.png', 4.513827949806652
28, 29, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00029.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00030.png', 4.18561293669449
29, 30, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00030.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00031.png', 4.414482671805453
30, 31, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00031.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00032.png', 4.3979082410790475
31, 32, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00032.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00033.png', 3.9990060560007588
32, 33, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00033.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00034.png', 3.793095753263334
33, 34, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00034.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00035.png', 4.2180834509747545
34, 35, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00035.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00036.png', 3.5567142318533747
35, 36, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00036.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00037.png', 4.485706263328783
36, 37, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00037.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00038.png', 4.651612470207393
37, 38, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00038.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00039.png', 3.420032242761396
38, 39, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00039.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00040.png', 3.2096432019060965
39, 40, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00040.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00041.png', 3.686263338202754
40, 41, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00041.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00042.png', 3.8039410583432933
41, 42, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00042.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00043.png', 3.842783788150753
42, 43, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00043.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00044.png', 5.224101301023234
43, 44, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00044.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00045.png', 4.421157564272593
44, 45, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00045.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00046.png', 4.935501027763369
45, 46, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00046.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00047.png', 4.234864853737922
46, 47, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00047.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00048.png', 4.708238386470076
47, 48, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00048.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00049.png', 4.534599516870224
48, 49, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00049.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00050.png', 5.158365002515152
49, 50, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00050.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00051.png', 4.736867986850687
50, 51, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00051.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00052.png', 4.865395339379943
51, 52, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00052.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00053.png', 5.291676057878774
52, 53, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00053.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00054.png', 4.893804099328885
53, 54, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00054.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00055.png', 4.8853215849787395
