0, 1, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00002.png', 4.277482237162708
24, 25, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00025.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00026.png', 5.021385553015969
25, 26, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00026.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00027.png', 3.8257858497478603
26, 27, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00027.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00028.png', 3.794142699129654
27, 28, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00028.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00029.png', 3.8837790909639227
28, 29, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00029.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00030.png', 4.7185182742943015
29, 30, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00030.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00031.png', 4.038067302863939
30, 31, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00031.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00032.png', 4.680001356137591
31, 32, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00032.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00033.png', 4.909756458922237
32, 33, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00033.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00034.png', 4.160167737016058
33, 34, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00034.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00035.png', 4.259638449908409
34, 35, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00035.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00036.png', 3.8511969736499103
35, 36, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00036.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00037.png', 3.831215477949426
36, 37, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00037.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00038.png', 3.389937034905811
37, 38, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00038.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00039.png', 4.069825858450004
38, 39, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00039.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00040.png', 4.3419243994458805
39, 40, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00040.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00041.png', 4.448546184876937
40, 41, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00041.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00042.png', 4.322242436543249
41, 42, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00042.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00043.png', 3.4239690789660893
42, 43, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00043.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00044.png', 4.2263845476466795
43, 44, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00044.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00045.png', 3.9758810849872996
44, 45, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00045.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00046.png', 3.757099913603715
45, 46, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00046.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00047.png', 3.9136721230572977
46, 47, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00047.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00048.png', 3.7511464123544114
47, 48, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00048.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00049.png', 3.139877692701378
48, 49, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00049.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00050.png', 2.928813583468818
49, 50, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00050.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00051.png', 3.3403483040127835
50, 51, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00051.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00052.png', 3.3775840543601654
51, 52, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00052.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00053.png', 3.971628014211124
52, 53, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00053.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00054.png', 3.391572746693348
53, 54, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00054.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00055.png', 3.8008690213507683
54, 55, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00055.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00056.png', 3.02111421228013
55, 56, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00056.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00057.png', 2.867377335285445
56, 57, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00057.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00058.png', 2.8139119731701054
57, 58, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00058.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00059.png', 3.338297175996185
58, 59, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00059.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00060.png', 3.9767023054921538
59, 60, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00060.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00061.png', 3.6046565346561072
60, 61, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00061.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00062.png', 3.450021667924999
61, 62, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00062.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00063.png', 3.9107337616719673
62, 63, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00063.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00064.png', 3.5993710480900263
63, 64, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00064.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00065.png', 3.0242752950634832
64, 65, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00065.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00066.png', 3.2021160707979965
65, 66, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00066.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00067.png', 2.974798529523856
66, 67, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00067.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00068.png', 3.7299008892185923
67, 68, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00068.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00069.png', 3.789358153494632
68, 69, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00069.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00070.png', 2.9713617265666086
69, 70, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00070.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00071.png', 2.827952338412259
70, 71, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00071.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00072.png', 2.9998199527826905
71, 72, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00072.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00073.png', 3.3784260762357197
72, 73, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00073.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00074.png', 3.432837837712161
73, 74, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00074.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00075.png', 4.202688137652573
74, 75, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00075.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00076.png', 3.664928324683091
75, 76, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00076.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00077.png', 3.4059858794793008
76, 77, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00077.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00078.png', 3.536506068355572
77, 78, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00078.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00079.png', 3.0260184377578105
78, 79, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00079.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00080.png', 3.483427464321478
79, 80, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00080.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00081.png', 3.7136927993987534
80, 81, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00081.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00082.png', 3.807584609705188
81, 82, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00082.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00083.png', 3.3092412610918744
82, 83, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00083.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00084.png', 3.460327987983972
83, 84, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00084.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00085.png', 3.431811033916118
84, 85, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00085.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00086.png', 2.941615571863225
85, 86, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00086.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00087.png', 3.2384048130693377
86, 87, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00087.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00088.png', 3.061837369544741
87, 88, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00088.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00089.png', 4.019845255964797
88, 89, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00089.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00090.png', 4.365076492637621
89, 90, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00090.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00091.png', 4.275068516423204
90, 91, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00091.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00092.png', 3.914575577211363
91, 92, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00092.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00093.png', 4.088703100472712
92, 93, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00093.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00094.png', 3.0673846605560224
93, 94, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00094.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00095.png', 3.132807579270836
94, 95, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00095.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00096.png', 3.408607543799098
95, 96, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00096.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00097.png', 3.3410284779212156
96, 97, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00097.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00098.png', 3.952890185887023
97, 98, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00098.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00099.png', 3.4573642355101923
98, 99, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00099.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00100.png', 3.508701158852992
99, 100, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00100.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00101.png', 2.989073342489825
100, 101, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00101.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00102.png', 3.093028853904641
101, 102, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00102.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00103.png', 3.0499001782680306
102, 103, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00103.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00104.png', 3.2955518009709266
103, 104, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00104.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00105.png', 3.8150665974337366
104, 105, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00105.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00106.png', 3.480103418372321
105, 106, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00106.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00107.png', 4.218904543358754
106, 107, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00107.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00108.png', 4.405257622904651
107, 108, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00108.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00109.png', 3.9619137434104843
108, 109, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00109.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00110.png', 3.512439722398173
109, 110, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00110.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00111.png', 3.476382804285231
110, 111, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00111.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00112.png', 4.892401613513085
111, 112, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00112.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00113.png', 5.943203487586125
112, 113, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00113.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00114.png', 5.427195771961048
113, 114, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00114.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00115.png', 4.8782485673119425
114, 115, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00115.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00116.png', 4.132638568134819
115, 116, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00116.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00117.png', 3.565862979272019
116, 117, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00117.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00118.png', 4.081265203097478
117, 118, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00118.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00119.png', 4.077775470628908
118, 119, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00119.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00120.png', 4.534558845069983
119, 120, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00120.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00121.png', 3.766619992230624
120, 121, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00121.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00122.png', 3.2231474922939993
121, 122, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00122.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00123.png', 4.177449419063314
122, 123, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00123.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00124.png', 3.4520701915637693
123, 124, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00124.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00125.png', 4.310028999483214
124, 125, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00125.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00126.png', 3.907917304862128
125, 126, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00126.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00127.png', 3.772668740276098
126, 127, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00127.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00128.png', 3.012766666915937
127, 128, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00128.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00129.png', 3.3507100484949137
128, 129, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00129.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00130.png', 3.316181833661176
129, 130, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00130.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00131.png', 2.6164515562684505
130, 131, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00131.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00132.png', 3.675853761513234
131, 132, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00132.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00133.png', 3.2126423018005075
132, 133, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00133.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00134.png', 3.3807530178408864
133, 134, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00134.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00135.png', 3.446792064095329
134, 135, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00135.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00136.png', 3.7565964265089455
135, 136, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00136.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00137.png', 3.665380411483933
136, 137, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00137.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00138.png', 4.224547311203982
137, 138, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00138.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00139.png', 3.474184203432569
138, 139, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00139.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00140.png', 3.560993931764672
139, 140, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00140.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00141.png', 3.6049063942471857
140, 141, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00141.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00142.png', 2.707309414358675
141, 142, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00142.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00143.png', 3.0753250460638375
142, 143, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00143.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00144.png', 3.7034781934417818
143, 144, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00144.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00145.png', 3.8005515008561974
144, 145, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00145.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00146.png', 4.482291837824393
145, 146, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00146.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00147.png', 3.4589187863343396
146, 147, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00147.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00148.png', 4.780164387404776
147, 148, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00148.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00149.png', 4.01460985420592
148, 149, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00149.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00150.png', 3.516142655502051
149, 150, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00150.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00151.png', 3.0102323949237455
150, 151, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00151.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00152.png', 3.1013123029604452
151, 152, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00152.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00153.png', 3.700599919557824
152, 153, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00153.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00154.png', 3.8169691106377566
