0, 1, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00002.png', 6.3543285361443145
33, 34, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00035.png', 4.865284940544759
34, 35, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00036.png', 5.437119044769502
35, 36, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00037.png', 5.340907077693239
36, 37, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00038.png', 4.432421230842417
37, 38, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00039.png', 4.3345799858259415
38, 39, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00040.png', 4.6853200353436355
39, 40, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00041.png', 4.456830007785742
40, 41, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00042.png', 4.47841695749958
41, 42, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00043.png', 5.818785500127502
42, 43, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00044.png', 5.362112823465664
43, 44, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00045.png', 5.0468479961807855
44, 45, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00046.png', 5.473904098680079
45, 46, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00047.png', 4.2135884993133645
46, 47, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00048.png', 4.869719147052639
47, 48, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00049.png', 4.47690896118861
48, 49, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00050.png', 4.441099452919688
49, 50, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00051.png', 4.489643611123468
50, 51, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00051.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00052.png', 5.291881629556408
51, 52, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00052.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00053.png', 5.473101428786452
52, 53, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00053.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00054.png', 5.051156781751992
53, 54, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00054.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00055.png', 4.70160438492401
54, 55, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00055.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00056.png', 4.164103663712118
55, 56, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00056.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00057.png', 4.169640051196896
56, 57, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00057.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00058.png', 5.094961581919978
57, 58, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00058.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00059.png', 3.927233456047775
58, 59, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00059.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00060.png', 4.035006534453978
59, 60, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00060.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00061.png', 4.538985402618365
