0, 1, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00002.png', 4.288584454680616
17, 18, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00019.png', 4.5685905163545435
18, 19, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00020.png', 4.176942464925436
19, 20, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00021.png', 5.138983670421709
20, 21, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00022.png', 4.410100961168707
21, 22, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00023.png', 4.454329836256658
22, 23, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00024.png', 3.922280141012519
23, 24, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00025.png', 4.585221997359199
24, 25, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00026.png', 4.3654314655093405
25, 26, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00027.png', 4.61503084626704
26, 27, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00028.png', 4.891425737209346
27, 28, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00029.png', 4.239359320482257
28, 29, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00030.png', 4.554310597347614
29, 30, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00031.png', 5.059278294956446
30, 31, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00032.png', 5.239484480601232
31, 32, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00033.png', 6.276186823214365
32, 33, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00034.png', 6.36276657305983
33, 34, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00035.png', 5.523478302558114
34, 35, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00036.png', 6.239838845669392
35, 36, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00037.png', 6.14257529926919
36, 37, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00038.png', 5.724594714540643
37, 38, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00039.png', 5.964987279056384
38, 39, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00040.png', 6.003877783127178
39, 40, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00041.png', 5.661173594591156
40, 41, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00042.png', 3.954764854077476
41, 42, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00043.png', 4.308926094965217
42, 43, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00044.png', 3.1980304953444754
43, 44, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00045.png', 3.7046246388964192
44, 45, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00046.png', 4.032873619859647
45, 46, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00047.png', 4.248067752541844
46, 47, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00048.png', 3.407297938082021
47, 48, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00049.png', 4.1727476017211105
48, 49, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00050.png', 4.301840545348181
49, 50, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00051.png', 4.8881208604134985
50, 51, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00051.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00052.png', 4.426662306912015
51, 52, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00052.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00053.png', 4.441938207361283
52, 53, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00053.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00054.png', 5.030236073540956
53, 54, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00054.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00055.png', 4.92424519059103
54, 55, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00055.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00056.png', 5.799303913039241
55, 56, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00056.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00057.png', 5.859505339921145
56, 57, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00057.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00058.png', 5.14427131328012
57, 58, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00058.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00059.png', 5.782948820149184
58, 59, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00059.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00060.png', 5.964063502834571
59, 60, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00060.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00061.png', 6.065428944105097
60, 61, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00061.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00062.png', 5.04553807844704
61, 62, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00062.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00063.png', 4.3901405001128975
62, 63, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00063.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00064.png', 5.189284907970727
63, 64, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00064.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00065.png', 5.2179682844437
64, 65, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00065.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00066.png', 5.35008545293916
65, 66, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00066.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00067.png', 5.358665134855757
66, 67, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00067.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00068.png', 4.706599500773922
67, 68, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00068.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00069.png', 5.533322971774792
68, 69, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00069.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00070.png', 5.545222148547537
69, 70, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00070.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00071.png', 4.910589806032116
70, 71, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00071.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00072.png', 5.94141088252725
71, 72, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00072.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00073.png', 6.603774143642375
72, 73, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00073.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00074.png', 6.494659124321623
73, 74, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00074.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00075.png', 7.111505463030828
74, 75, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00075.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00076.png', 6.687189684788651
75, 76, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00076.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00077.png', 5.913359277138988
