0, 1, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00002.png', 5.680932757142728
15, 16, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00017.png', 4.410071581156419
16, 17, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00018.png', 3.9294039577683315
17, 18, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00019.png', 3.709829268504766
18, 19, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00020.png', 3.513374713366498
19, 20, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00021.png', 3.6610439776870436
20, 21, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00021.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00022.png', 4.247370315309917
21, 22, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00022.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00023.png', 3.8411097427734093
22, 23, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00023.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00024.png', 4.856284258972565
23, 24, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00024.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00025.png', 5.35186785488373
24, 25, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00025.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00026.png', 5.246794797263624
25, 26, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00026.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00027.png', 4.815142811240926
26, 27, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00027.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00028.png', 5.589203004736497
27, 28, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00028.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00029.png', 5.149690906568865
28, 29, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00029.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00030.png', 5.8226289798056445
