0, 1, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0002.png', 0.22052664246085504
33, 34, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0035.png', 0.29166163438619
34, 35, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0036.png', 0.23726265889551662
35, 36, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0037.png', 0.25072310503815365
36, 37, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0038.png', 0.24901430101535232
37, 38, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0039.png', 0.2989551556053947
38, 39, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0040.png', 0.34773374557438785
39, 40, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0041.png', 0.2796852389156835
40, 41, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0042.png', 0.28858109013672567
41, 42, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0043.png', 0.34386278055016173
42, 43, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0044.png', 0.3750646777155002
43, 44, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0045.png', 0.3458178124323628
44, 45, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0046.png', 0.2938266095425565
45, 46, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0047.png', 0.31122160564692697
46, 47, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0048.png', 0.3070781241660393
47, 48, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0049.png', 0.3297647967716316
48, 49, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0050.png', 0.33996758309277836
49, 50, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0051.png', 0.34888706986700463
50, 51, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0052.png', 0.35602307415810713
51, 52, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0053.png', 0.33735714558730545
52, 53, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0053.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0054.png', 0.34826124418711174
53, 54, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0054.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0055.png', 0.3006668641803387
54, 55, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0055.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0056.png', 0.27746796839850485
55, 56, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0056.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0057.png', 0.29364649385780034
56, 57, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0057.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0058.png', 0.2972027502022206
57, 58, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0058.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0059.png', 0.2687396231115537
58, 59, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0059.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0060.png', 0.29461847567429156
59, 60, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0060.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0061.png', 0.30432359170877427
60, 61, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0061.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0062.png', 0.30411118448951124
61, 62, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0062.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0063.png', 0.3430989827141633
62, 63, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0063.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0064.png', 0.37727114491581476
63, 64, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0064.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0065.png', 0.2697534216868238
64, 65, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0065.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0066.png', 0.31363147356002624
65, 66, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0066.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0067.png', 0.3432983247511704
66, 67, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0067.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0068.png', 0.2861051321860937
67, 68, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0068.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0069.png', 0.2908658413395501
68, 69, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0069.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0070.png', 0.33365697331554056
69, 70, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0070.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0071.png', 0.35628340308176976
70, 71, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0071.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0072.png', 0.31669117442833117
71, 72, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0072.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0073.png', 0.3676002120144936
72, 73, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0073.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0074.png', 0.2943306454501347
73, 74, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0074.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0075.png', 0.35236704918494266
74, 75, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0075.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0076.png', 0.40095589505595475
75, 76, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0076.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0077.png', 0.36172546910252923
76, 77, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0077.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0078.png', 0.41251863050594684
77, 78, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0078.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0079.png', 0.32269635474297376
78, 79, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0079.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0080.png', 0.44443739076458233
79, 80, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0080.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0081.png', 0.3417350991909409
80, 81, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0081.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0082.png', 0.3850268266278987
81, 82, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0082.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0083.png', 0.3443604049143102
82, 83, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0083.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0084.png', 0.31606657261189813
83, 84, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0084.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0085.png', 0.3905352848579784
84, 85, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0085.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0086.png', 0.3742115434230183
85, 86, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0086.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0087.png', 0.29551705529995154
86, 87, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0087.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0088.png', 0.3958128706028611
87, 88, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0088.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0089.png', 0.3724066794996152
88, 89, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0089.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0090.png', 0.32266200973322623
89, 90, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0090.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0091.png', 0.4131730278824733
90, 91, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0091.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0092.png', 0.28442434909582015
91, 92, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0092.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0093.png', 0.326087043372846
92, 93, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0093.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0094.png', 0.3840002989473651
93, 94, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0094.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0095.png', 0.33641737874983185
94, 95, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0095.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0096.png', 0.2963425612646397
95, 96, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0096.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0097.png', 0.34203474467074274
96, 97, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0097.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0098.png', 0.3024802447187215
97, 98, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0098.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0099.png', 0.3095395300775653
98, 99, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0099.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0100.png', 0.3909357137869406
99, 100, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0100.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0101.png', 0.37002394988068155
100, 101, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0101.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0102.png', 0.2818942025873303
101, 102, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0102.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0103.png', 0.39514028042202654
102, 103, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0103.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0104.png', 0.3325425939039036
103, 104, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0104.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0105.png', 0.34475821814125035
104, 105, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0105.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0106.png', 0.36413979964697907
105, 106, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0106.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0107.png', 0.3160318537818331
106, 107, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0107.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0108.png', 0.34901874267720756
107, 108, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0108.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0109.png', 0.32905139455051735
108, 109, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0109.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0110.png', 0.3978872788727295
109, 110, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0110.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0111.png', 0.35325036962742035
110, 111, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0111.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0112.png', 0.32758803809431825
111, 112, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0112.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0113.png', 0.35530661080951753
112, 113, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0113.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0114.png', 0.3430989827141633
113, 114, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0114.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0115.png', 0.3270085419420634
114, 115, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0115.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0116.png', 0.3394664280106232
115, 116, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0116.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0117.png', 0.32008063946806387
116, 117, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0117.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0118.png', 0.3308841936309359
117, 118, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0118.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0119.png', 0.35608816653956543
118, 119, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0119.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0120.png', 0.38418706445677264
