0, 1, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00001.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00002.png', 5.28114400566339
22, 23, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00023.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00024.png', 5.538772915952405
23, 24, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00024.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00025.png', 5.5467332491937915
24, 25, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00025.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00026.png', 5.417406423360818
25, 26, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00026.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00027.png', 5.613301038601085
26, 27, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00027.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00028.png', 5.55061212750836
27, 28, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00028.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00029.png', 5.46345979389922
28, 29, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00029.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00030.png', 4.857617674459985
29, 30, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00030.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00031.png', 4.889753566861528
30, 31, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00031.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00032.png', 5.572919071187612
31, 32, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00032.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00033.png', 5.9077855348608095
32, 33, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00033.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00034.png', 5.316800855726299
33, 34, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00034.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00035.png', 5.210567074251135
34, 35, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00035.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00036.png', 4.66365782740977
35, 36, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00036.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00037.png', 4.95985454349747
36, 37, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00037.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00038.png', 5.247733172008235
37, 38, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00038.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00039.png', 5.58837366256819
38, 39, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00039.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00040.png', 5.210871004668885
39, 40, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00040.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00041.png', 5.668506615577213
40, 41, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00041.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00042.png', 5.311995176728932
41, 42, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00042.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00043.png', 5.1470243870878125
42, 43, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00043.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00044.png', 4.740267007290921
43, 44, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00044.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00045.png', 5.331766003279816
44, 45, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00045.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00046.png', 5.387862044409727
45, 46, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00046.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00047.png', 4.730036405328678
46, 47, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00047.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00048.png', 5.278823988972337
47, 48, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00048.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00049.png', 6.040671289700089
48, 49, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00049.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00050.png', 6.048482070632534
49, 50, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00050.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00051.png', 5.451691414605445
50, 51, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00051.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00052.png', 5.645735678527557
51, 52, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00052.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00053.png', 5.519183790246658
52, 53, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00053.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00054.png', 5.312770293221919
53, 54, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00054.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00055.png', 4.802037948399144
54, 55, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00055.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00056.png', 4.417667584758902
55, 56, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00056.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00057.png', 4.26903444122287
56, 57, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00057.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00058.png', 4.822479773918026
57, 58, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00058.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00059.png', 5.194777330246861
58, 59, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00059.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00060.png', 4.939407231568147
59, 60, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00060.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00061.png', 6.7182556265486735
60, 61, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00061.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00062.png', 5.522985936671337
61, 62, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00062.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00063.png', 5.541715853140841
62, 63, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00063.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00064.png', 5.867148772825101
63, 64, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00064.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00065.png', 5.185602082642992
64, 65, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00065.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00066.png', 5.315053916471316
65, 66, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00066.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00067.png', 4.977146536097639
66, 67, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00067.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00068.png', 5.25418998098093
67, 68, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00068.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00069.png', 5.504362429784916
68, 69, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00069.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00070.png', 5.603269640583638
69, 70, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00070.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00071.png', 4.810750158742047
70, 71, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00071.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00072.png', 5.121641131585326
71, 72, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00072.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00073.png', 6.168719536261082
72, 73, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00073.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00074.png', 6.212366613469256
73, 74, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00074.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00075.png', 5.606956700833672
