0, 1, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00002.png', 6.480596011414156
30, 31, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00032.png', 5.900382918899034
31, 32, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00033.png', 5.33324641515583
32, 33, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00034.png', 5.5969128523225775
33, 34, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00035.png', 5.385978617894268
34, 35, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00036.png', 4.516774891954307
35, 36, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00037.png', 4.597930733831713
36, 37, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00038.png', 4.8402823896620175
37, 38, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00039.png', 5.128978944797035
38, 39, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00040.png', 5.372463466482412
39, 40, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00041.png', 4.354292591200778
40, 41, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00042.png', 4.7396177380843385
41, 42, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00043.png', 4.5146807025255775
42, 43, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00044.png', 4.969131543108509
43, 44, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00045.png', 5.813737792036474
44, 45, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00046.png', 5.20637467012986
45, 46, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00047.png', 5.18983999232326
46, 47, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00048.png', 4.73507810613069
47, 48, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00049.png', 5.634833760459716
48, 49, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00050.png', 4.5858705203998005
49, 50, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00051.png', 4.868829988554913
50, 51, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00052.png', 5.046967732296151
51, 52, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00053.png', 5.50647132319786
52, 53, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00053.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00054.png', 5.363126946379298
53, 54, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00054.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00055.png', 5.3491840311978125
54, 55, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00055.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00056.png', 4.6426853667196175
55, 56, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00056.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00057.png', 5.130837727097473
56, 57, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00057.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00058.png', 4.907928145652052
57, 58, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00058.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00059.png', 5.2038662051539575
58, 59, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00059.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00060.png', 4.30462076325762
59, 60, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00060.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00061.png', 5.585686509080335
60, 61, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00061.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00062.png', 4.572746198117886
61, 62, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00062.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00063.png', 4.303025085440192
62, 63, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00063.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00064.png', 4.673160041062796
63, 64, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00064.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00065.png', 4.288408742394391
64, 65, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00065.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00066.png', 5.498798927223503
65, 66, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00066.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00067.png', 4.412924715141264
66, 67, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00067.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00068.png', 5.092395485844969
67, 68, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00068.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00069.png', 5.106970326331049
68, 69, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00069.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00070.png', 5.072293613243153
69, 70, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00070.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00071.png', 4.386717397829512
70, 71, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00071.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00072.png', 4.202246717228783
71, 72, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00072.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00073.png', 6.052285997736859
72, 73, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00073.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00074.png', 6.344419285570834
73, 74, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00074.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00075.png', 5.493573346723744
74, 75, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00075.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00076.png', 5.628954518556917
75, 76, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00076.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00077.png', 4.8121763536801145
76, 77, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00077.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00078.png', 4.282546707749217
77, 78, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00078.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00079.png', 4.5595051238692195
78, 79, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00079.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00080.png', 4.543785245126224
79, 80, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00080.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00081.png', 4.3774950932808245
80, 81, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00081.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00082.png', 4.56682764863864
81, 82, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00082.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00083.png', 5.167238699471336
82, 83, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00083.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00084.png', 4.438676485955137
83, 84, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00084.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00085.png', 4.63878074133333
84, 85, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00085.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00086.png', 4.739829461343952
85, 86, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00086.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00087.png', 4.93958893419601
86, 87, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00087.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00088.png', 5.223472685312334
87, 88, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00088.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00089.png', 5.1421999010175385
88, 89, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00089.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00090.png', 5.267623588662438
89, 90, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00090.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00091.png', 4.865550703973173
90, 91, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00091.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00092.png', 5.183055575699726
91, 92, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00092.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00093.png', 5.066896831061806
92, 93, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00093.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00094.png', 5.178505854196119
93, 94, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00094.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00095.png', 5.069577307910002
94, 95, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00095.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00096.png', 4.307436678665308
95, 96, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00096.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00097.png', 4.665433291920013
96, 97, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00097.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00098.png', 4.468127951918957
97, 98, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00098.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00099.png', 4.039008091826846
98, 99, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00099.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00100.png', 4.47135022060881
99, 100, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00100.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00101.png', 4.27726532537013
100, 101, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00101.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00102.png', 5.1211477541599555
101, 102, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00102.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00103.png', 4.69731843167542
102, 103, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00103.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00104.png', 4.906631530440609
103, 104, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00104.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00105.png', 4.217526787085121
104, 105, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00105.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00106.png', 4.249042819289094
105, 106, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00106.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00107.png', 4.0117766336017375
106, 107, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00107.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00108.png', 4.013174356210382
107, 108, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00108.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00109.png', 4.559871281633929
