0, 1, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00002.png', 6.767548646564011
14, 15, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00015.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00016.png', 4.353452392677039
15, 16, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00016.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00017.png', 4.20238863294172
16, 17, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00017.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00018.png', 3.94840043273922
17, 18, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00018.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00019.png', 3.880187291014887
18, 19, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00019.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00020.png', 3.9975080831177285
19, 20, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00020.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00021.png', 4.202749322858104
20, 21, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00021.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00022.png', 4.294706595816876
21, 22, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00022.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00023.png', 3.4722530783035643
22, 23, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00023.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00024.png', 3.7100678436145906
23, 24, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00024.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00025.png', 4.3409560673436465
24, 25, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00025.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00026.png', 4.211192481018646
25, 26, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00026.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00027.png', 3.8157770221648186
26, 27, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00027.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00028.png', 4.215890269126656
27, 28, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00028.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00029.png', 4.3646356110414475
28, 29, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00029.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00030.png', 4.412996853299551
29, 30, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00030.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00031.png', 3.893263704321453
30, 31, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00031.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00032.png', 3.7782515773301646
31, 32, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00032.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00033.png', 4.518414617976061
32, 33, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00033.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00034.png', 4.825656032860707
33, 34, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00034.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00035.png', 4.738865056909504
34, 35, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00035.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00036.png', 5.752240231909082
35, 36, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00036.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00037.png', 5.823352627781359
36, 37, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00037.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00038.png', 6.166004927722555
