0, 1, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00002.png', 5.472937800103485
18, 19, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00020.png', 4.473761030964732
19, 20, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00021.png', 3.9993975449790105
20, 21, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00022.png', 3.8761696512596497
21, 22, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00023.png', 4.496271629200711
22, 23, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00024.png', 4.342596359967546
23, 24, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00025.png', 3.9429110987423135
24, 25, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00026.png', 3.6850654358514796
25, 26, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00027.png', 4.65815180004457
26, 27, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00028.png', 4.351067490704039
27, 28, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00029.png', 4.67060272106677
28, 29, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00029.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00030.png', 4.987155222348708
29, 30, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00030.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00031.png', 4.641380417535244
30, 31, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00031.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00032.png', 4.695992459391588
31, 32, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00032.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00033.png', 5.278423763428472
32, 33, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00033.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00034.png', 5.5455073040537854
