0, 1, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0002.png', 0.4049139607650594
68, 69, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0069.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0070.png', -0.0
69, 70, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0070.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0071.png', -0.0
70, 71, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0071.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0072.png', -0.0
71, 72, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0072.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0073.png', -0.0
72, 73, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0073.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0074.png', -0.0
73, 74, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0074.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0075.png', -0.0
74, 75, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0075.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0076.png', -0.0
75, 76, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0076.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0077.png', -0.0
76, 77, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0077.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0078.png', -0.0
77, 78, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0078.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0079.png', -0.0
78, 79, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0079.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0080.png', -0.0
79, 80, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0080.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0081.png', -0.0
80, 81, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0081.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0082.png', -0.0
81, 82, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0082.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0083.png', -0.0
82, 83, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0083.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0084.png', -0.0
83, 84, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0084.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0085.png', -0.0
84, 85, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0085.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0086.png', -0.0
85, 86, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0086.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0087.png', 0.014713458529157475
86, 87, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0087.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0088.png', 0.05222541315238822
87, 88, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0088.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0089.png', 0.09904875268331154
88, 89, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0089.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0090.png', 0.2660652396236799
89, 90, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0090.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0091.png', 0.43520194489331004
90, 91, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0091.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0092.png', 0.489817619379034
91, 92, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0092.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0093.png', 0.46760612430510207
