0, 1, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0002.png', 5.936539375416254
22, 23, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0024.png', 4.95340007494519
23, 24, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0025.png', 5.170674375156562
24, 25, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0026.png', 4.501273327944389
25, 26, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0027.png', 5.332516283910416
26, 27, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0028.png', 5.469454933035593
27, 28, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0029.png', 5.128921184238581
28, 29, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0030.png', 5.506664175760441
29, 30, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0031.png', 5.25162055725663
30, 31, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0032.png', 4.504682347420638
31, 32, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0033.png', 5.374897287659296
32, 33, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0034.png', 5.45710164109331
33, 34, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0035.png', 5.4716853165630885
34, 35, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0036.png', 5.404651431644549
35, 36, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0037.png', 5.368876620782796
36, 37, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0038.png', 5.107891658621758
37, 38, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0039.png', 4.808823120310581
38, 39, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0040.png', 4.730398007083848
39, 40, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0041.png', 5.549821987956705
40, 41, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0042.png', 5.63225784270267
41, 42, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0043.png', 5.248696601082846
42, 43, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0044.png', 4.879935459968365
43, 44, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0045.png', 5.191302440307877
