0, 1, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0002.png', 6.055097267990975
11, 12, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0013.png', 5.207671787830667
12, 13, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0014.png', 5.080035884156304
13, 14, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0015.png', 4.720793857818884
14, 15, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0016.png', 4.955782456210332
15, 16, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0017.png', 4.50784185128373
16, 17, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0018.png', 4.590569795297831
17, 18, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0019.png', 4.667897766085408
18, 19, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0020.png', 4.339688417025801
19, 20, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0021.png', 4.800328789461996
20, 21, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0022.png', 5.037546894605142
21, 22, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0023.png', 5.237404517461147
22, 23, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0024.png', 5.371719659046291
23, 24, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0025.png', 5.3469987669346395
24, 25, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0026.png', 4.944259660651999
25, 26, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0027.png', 5.409874659687014
26, 27, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0028.png', 5.09230693550411
27, 28, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0029.png', 5.282843215233399
28, 29, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0030.png', 4.9259432897177415
29, 30, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0031.png', 4.2638739937540135
30, 31, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0032.png', 4.883632317765297
31, 32, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0033.png', 5.4829685229495775
32, 33, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0034.png', 5.848730906137697
33, 34, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0035.png', 5.021073034355157
34, 35, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0036.png', 4.857819113800144
35, 36, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0037.png', 5.226744408421196
36, 37, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0038.png', 5.066442331813191
37, 38, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0039.png', 5.150570921122331
38, 39, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0040.png', 5.377482031666093
39, 40, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0041.png', 5.589539717888112
