0, 1, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00002.png', 5.668506379461224
25, 26, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00027.png', 3.8660753699235744
26, 27, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00027.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00028.png', 3.704523683218719
27, 28, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00028.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00029.png', 3.0702890232119104
28, 29, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00029.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00030.png', 4.395426085908631
29, 30, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00030.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00031.png', 3.6024734856020233
30, 31, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00031.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00032.png', 4.052990445375889
31, 32, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00032.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00033.png', 3.4400171049366697
32, 33, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00033.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00034.png', 4.786343485712375
33, 34, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00034.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00035.png', 4.625754597434457
34, 35, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00035.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00036.png', 3.70819112931548
35, 36, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00036.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00037.png', 4.207272397120902
36, 37, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00037.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00038.png', 4.47721048535693
37, 38, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00038.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00039.png', 4.40318771947537
38, 39, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00039.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00040.png', 5.507283131653058
39, 40, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00040.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00041.png', 5.470205805889113
40, 41, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00041.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00042.png', 4.960296476877356
41, 42, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00042.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00043.png', 4.291624738737959
42, 43, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00043.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00044.png', 4.879122248607054
43, 44, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00044.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00045.png', 3.9489394501995303
44, 45, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00045.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00046.png', 4.604573489282574
45, 46, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00046.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00047.png', 4.895791200400181
46, 47, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00047.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00048.png', 5.424620942127129
47, 48, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00048.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00049.png', 4.408990825569819
48, 49, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00049.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00050.png', 5.170084972200081
