0, 1, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00002.png', 4.479330399963469
33, 34, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00035.png', 3.882526482443422
34, 35, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00036.png', 3.867431146836355
35, 36, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00037.png', 4.476053657308696
36, 37, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00038.png', 4.759649547089405
37, 38, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00039.png', 4.319608526714813
38, 39, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00040.png', 4.749285545547081
39, 40, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00041.png', 4.646018336671664
40, 41, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00042.png', 4.495802012654177
41, 42, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00043.png', 4.43949782226251
42, 43, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00044.png', 4.283750943595579
43, 44, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00045.png', 4.421984485899612
44, 45, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00046.png', 3.652594097167532
45, 46, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00047.png', 4.346826722411241
46, 47, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00048.png', 4.871624663638343
47, 48, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00049.png', 4.36307437407109
48, 49, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00050.png', 4.442064436230739
49, 50, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00051.png', 4.322595979423476
50, 51, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00052.png', 4.938826724458873
51, 52, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00053.png', 4.261371984944841
52, 53, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00053.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00054.png', 4.093131167959955
53, 54, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00054.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00055.png', 3.5502897695539977
54, 55, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00055.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00056.png', 3.4864078621301586
55, 56, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00056.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00057.png', 4.238717906599537
56, 57, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00057.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00058.png', 3.814367780488593
57, 58, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00058.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00059.png', 4.237033164470249
58, 59, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00059.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00060.png', 4.642889691853842
59, 60, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00060.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00061.png', 3.8738291671044385
60, 61, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00061.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00062.png', 4.429396305373696
61, 62, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00062.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00063.png', 4.6696182767272685
62, 63, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00063.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00064.png', 4.988833076610879
63, 64, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00064.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00065.png', 4.605533323807592
64, 65, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00065.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00066.png', 4.232395257246217
65, 66, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00066.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00067.png', 4.402897677874823
66, 67, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00067.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00068.png', 4.171490073260488
67, 68, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00068.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00069.png', 4.858226651191154
68, 69, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00069.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00070.png', 5.055301794297235
69, 70, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00070.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00071.png', 4.546541016750996
70, 71, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00071.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00072.png', 5.3777267396490025
71, 72, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00072.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00073.png', 5.466941676372946
72, 73, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00073.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00074.png', 5.809110296094647
73, 74, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00074.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00075.png', 5.076076888063612
74, 75, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00075.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00076.png', 5.220511278580906
75, 76, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00076.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00077.png', 4.515914908008481
76, 77, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00077.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00078.png', 4.371271616709209
77, 78, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00078.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00079.png', 4.539803951722091
78, 79, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00079.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00080.png', 4.746964314522617
79, 80, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00080.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00081.png', 5.09677800129705
80, 81, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00081.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00082.png', 4.832218997723715
81, 82, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00082.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00083.png', 4.902395458176605
82, 83, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00083.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00084.png', 4.874425808572033
83, 84, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00084.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00085.png', 5.144923342586478
84, 85, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00085.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00086.png', 4.441030745876416
85, 86, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00086.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00087.png', 4.619704139995419
86, 87, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00087.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00088.png', 4.598838857746653
87, 88, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00088.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00089.png', 5.120834583438043
88, 89, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00089.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00090.png', 5.580379437500462
89, 90, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00090.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00091.png', 5.222419737793809
90, 91, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00091.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00092.png', 4.559241670430912
91, 92, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00092.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00093.png', 4.03438783685515
92, 93, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00093.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00094.png', 5.20136687737259
93, 94, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00094.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00095.png', 5.494946707020654
94, 95, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00095.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00096.png', 5.853482200825589
95, 96, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00096.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00097.png', 5.547407583519545
