0, 1, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0002.png', 0.47911867321460455
16, 17, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0018.png', 0.30911828286592985
17, 18, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0019.png', 0.30194746299195097
18, 19, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0020.png', 0.30633775068671576
19, 20, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0021.png', 0.316760535239228
20, 21, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0022.png', 0.4098942619250091
21, 22, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0023.png', 0.06326095934111614
22, 23, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0024.png', 0.05355467696073313
23, 24, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0025.png', 0.05018442570808949
24, 25, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0026.png', 0.07090734516199089
25, 26, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0027.png', 0.0581784148162782
26, 27, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0028.png', 0.053365262095832325
27, 28, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0029.png', 0.03438553070836077
28, 29, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0030.png', 0.022875979046570613
29, 30, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0031.png', 0.020277210329488687
30, 31, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0032.png', 0.026965539403454412
31, 32, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0033.png', 0.025048571004148066
32, 33, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0034.png', 0.027768406992814524
33, 34, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0035.png', 0.02586299696652629
34, 35, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0036.png', 0.010851145512816433
35, 36, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0037.png', 0.02362947096142899
36, 37, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0038.png', 0.03291606781008387
37, 38, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0039.png', 0.0188762306604249
38, 39, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0040.png', 0.01942326508122074
39, 40, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0041.png', 0.02534531722598733
40, 41, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0042.png', 0.02150753147904503
41, 42, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0043.png', 0.03333728874940131
42, 43, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0044.png', 0.048253352733437636
43, 44, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0045.png', 0.10927965527887562
44, 45, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0046.png', 0.16893310932127034
45, 46, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0047.png', 0.19484802700425422
46, 47, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0048.png', 0.221590418557241
47, 48, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0049.png', 0.22893854849894155
48, 49, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0050.png', 0.2280910772519061
49, 50, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0051.png', 0.392504183959927
50, 51, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0052.png', 0.4442109727623856
51, 52, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0053.png', 0.4594251910221976
52, 53, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0053.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0054.png', 0.48768193118086206
53, 54, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0054.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0055.png', 0.4528699565429074
54, 55, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0055.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0056.png', 0.44307766363501855
55, 56, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0056.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0057.png', 0.4118039708647404
56, 57, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0057.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0058.png', 0.4152210833366046
57, 58, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0058.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0059.png', 0.4265869026088181
58, 59, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0059.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0060.png', 0.516350450478955
59, 60, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0060.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0061.png', 0.5210719332015965
60, 61, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0061.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0062.png', 0.5102440501307853
61, 62, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0062.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0063.png', 0.4400930184766508
62, 63, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0063.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0064.png', 0.45729389998094155
63, 64, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0064.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0065.png', 0.45972907259924345
64, 65, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0065.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0066.png', 0.45873400459966374
65, 66, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0066.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0067.png', 0.49589428285180126
66, 67, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0067.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0068.png', 0.5398412327409554
67, 68, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0068.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0069.png', 0.5082801455352584
68, 69, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0069.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0070.png', 0.49800191127118953
69, 70, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0070.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0071.png', 0.4197977925184671
70, 71, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0071.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0072.png', 0.4552666389919072
71, 72, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0072.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0073.png', 0.4586786768645219
72, 73, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0073.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0074.png', 0.4743879683455038
73, 74, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0074.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0075.png', 0.5092501305914725
74, 75, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0075.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0076.png', 0.49278481514413336
75, 76, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0076.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0077.png', 0.46132893328511704
76, 77, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0077.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0078.png', 0.4787972607745906
77, 78, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0078.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0079.png', 0.4777783617418744
78, 79, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0079.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0080.png', 0.48942267513986637
79, 80, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0080.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0081.png', 0.47349696185011836
80, 81, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0081.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0082.png', 0.4302438213414037
81, 82, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0082.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0083.png', 0.4844247552107316
82, 83, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0083.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0084.png', 0.49291577961610966
83, 84, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0084.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0085.png', 0.4953988594644433
84, 85, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0085.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0086.png', 0.46168696489325334
85, 86, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0086.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0087.png', 0.2905761988752264
86, 87, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0087.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0088.png', 0.28310562194854877
87, 88, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0088.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0089.png', 0.29551705529995154
88, 89, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0089.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0090.png', 0.298097472684284
89, 90, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0090.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0091.png', 0.27635619165503844
90, 91, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0091.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0092.png', 0.2835821677084355
91, 92, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0092.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0093.png', 0.293970663091238
92, 93, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0093.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0094.png', 0.27319467024848054
93, 94, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0094.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0095.png', 0.2508394269585176
94, 95, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0095.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0096.png', 0.19776470971294108
95, 96, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0096.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0097.png', 0.15745562493638562
96, 97, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0097.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0098.png', 0.15582567402896919
97, 98, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0098.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0099.png', 0.19544988739646435
98, 99, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0099.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0100.png', 0.20376018146496616
99, 100, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0100.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0101.png', 0.2279699024773938
100, 101, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0101.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0102.png', 0.1921740231393942
101, 102, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0102.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0103.png', 0.17559797926901696
102, 103, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0103.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0104.png', 0.25773728841524535
103, 104, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0104.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0105.png', 0.335913345336441
104, 105, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0105.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0106.png', 0.41213162325392344
105, 106, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0106.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0107.png', 0.5046675502479308
106, 107, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0107.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0108.png', 0.5319563233897464
