0, 1, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00002.png', 5.324072837206973
18, 19, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00020.png', 5.10539279291473
19, 20, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00021.png', 4.830286775633442
20, 21, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00022.png', 5.018903958858477
21, 22, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00023.png', 5.0977079803764855
22, 23, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00024.png', 5.72737003197187
23, 24, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00025.png', 6.196339001295258
24, 25, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00026.png', 5.109024476168839
25, 26, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00027.png', 4.990826472681987
26, 27, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00028.png', 5.725871919218505
27, 28, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00029.png', 4.91406063312253
28, 29, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00030.png', 5.066037940557616
29, 30, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00031.png', 5.9963476954587565
30, 31, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00032.png', 6.291936490198236
31, 32, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00033.png', 5.5667162348343195
32, 33, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00034.png', 5.976911618711062
33, 34, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00035.png', 6.122420904193426
34, 35, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00036.png', 5.950522784998356
35, 36, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00037.png', 5.1743660272837975
36, 37, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00038.png', 6.206989893359301
37, 38, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00039.png', 5.054959161700755
38, 39, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00040.png', 5.922202823464306
39, 40, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00041.png', 5.496385334478072
40, 41, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00042.png', 6.070379402351828
41, 42, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00043.png', 5.326187237776595
42, 43, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00044.png', 5.476583620806719
43, 44, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00045.png', 5.7713812349701765
44, 45, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00046.png', 5.740275355663422
45, 46, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00047.png', 5.637375992448239
46, 47, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00048.png', 6.1691873506573955
