0, 1, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0002.png', 0.4077989063264193
34, 35, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0036.png', 0.1575021090841188
35, 36, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0037.png', 0.1823924916689741
36, 37, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0038.png', 0.1381694904587296
37, 38, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0039.png', 0.175061028665784
38, 39, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0040.png', 0.16423870591636647
39, 40, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0041.png', 0.1577344586160172
40, 41, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0042.png', 0.17733895432210597
41, 42, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0043.png', 0.1711500561477813
42, 43, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0044.png', 0.23805648264616097
43, 44, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0045.png', 0.1863019550075415
44, 45, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0046.png', 0.18296547188363504
45, 46, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0047.png', 0.2053641598826239
46, 47, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0048.png', 0.21409925522700982
47, 48, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0049.png', 0.1943315784046576
48, 49, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0050.png', 0.18822339703754962
49, 50, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0051.png', 0.2000691034728334
50, 51, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0052.png', 0.20435169699836822
51, 52, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0053.png', 0.2077189534641547
