0, 1, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00002.png', 6.290450170928001
16, 17, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00017.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00018.png', 4.451402472538503
17, 18, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00018.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00019.png', 3.24331772934906
18, 19, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00019.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00020.png', 3.9558295193614734
19, 20, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00020.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00021.png', 3.3706472115566095
20, 21, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00021.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00022.png', 3.568382967842307
21, 22, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00022.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00023.png', 4.1009523296558035
22, 23, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00023.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00024.png', 4.004245240917627
23, 24, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00024.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00025.png', 3.95638948163439
24, 25, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00025.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00026.png', 3.78570774482103
25, 26, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00026.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00027.png', 4.160466382092957
26, 27, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00027.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00028.png', 2.9326871575682687
27, 28, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00028.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00029.png', 4.297504188822272
28, 29, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00029.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00030.png', 3.1822553099741975
29, 30, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00030.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00031.png', 3.3640867249871707
30, 31, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00031.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00032.png', 3.4327616812122757
31, 32, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00032.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00033.png', 3.312354359922259
32, 33, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00033.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00034.png', 3.8492934721369307
33, 34, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00034.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00035.png', 4.083653662907364
34, 35, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00035.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00036.png', 4.399312018657449
35, 36, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00036.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00037.png', 3.040645294997109
36, 37, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00037.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00038.png', 4.32117563601467
37, 38, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00038.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00039.png', 4.033044592443778
38, 39, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00039.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00040.png', 4.038796305403196
39, 40, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00040.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00041.png', 3.8714517634186425
40, 41, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00041.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00042.png', 3.8214470218874492
41, 42, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00042.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00043.png', 3.855099953630957
42, 43, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00043.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00044.png', 3.802033365347743
43, 44, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00044.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00045.png', 4.0744424403306345
44, 45, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00045.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00046.png', 4.0015342252096415
45, 46, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00046.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00047.png', 3.694219744825639
46, 47, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00047.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00048.png', 3.8411211778377066
47, 48, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00048.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00049.png', 3.704125330443523
48, 49, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00049.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00050.png', 4.745144355403841
49, 50, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00050.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00051.png', 4.670101169192136
50, 51, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00051.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00052.png', 4.910904652146002
51, 52, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00052.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00053.png', 5.0157863881710245
52, 53, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00053.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00054.png', 4.751782278049049
53, 54, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00054.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00055.png', 4.171342485427557
54, 55, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00055.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00056.png', 4.960931961620091
55, 56, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00056.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00057.png', 4.192129113616855
56, 57, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00057.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00058.png', 4.281303295251563
57, 58, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00058.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00059.png', 4.517631728474203
58, 59, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00059.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00060.png', 4.065690074662592
59, 60, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00060.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00061.png', 3.3929697308049738
60, 61, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00061.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00062.png', 3.802587351528707
61, 62, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00062.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00063.png', 4.700988748718007
62, 63, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00063.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00064.png', 4.5519038352883925
63, 64, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00064.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00065.png', 4.795104939817089
64, 65, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00065.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00066.png', 3.765992043225245
65, 66, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00066.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00067.png', 4.081230190912179
66, 67, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00067.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00068.png', 4.715385036034857
67, 68, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00068.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00069.png', 3.639253721663342
68, 69, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00069.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00070.png', 5.233236801392877
69, 70, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00070.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00071.png', 5.091672218261623
70, 71, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00071.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00072.png', 4.119636853796742
71, 72, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00072.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00073.png', 4.453860358937213
72, 73, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00073.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00074.png', 3.728388785040748
73, 74, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00074.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00075.png', 3.9212617144580584
74, 75, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00075.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00076.png', 4.3783691803688125
75, 76, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00076.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00077.png', 5.327213396324974
76, 77, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00077.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00078.png', 4.596435892739715
77, 78, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00078.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00079.png', 4.133433363978212
78, 79, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00079.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00080.png', 5.064073473825694
