0, 1, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00002.png', 6.532320012759755
31, 32, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00032.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00033.png', 3.803610908992827
32, 33, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00033.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00034.png', 4.035460933996204
33, 34, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00034.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00035.png', 5.420074643482303
34, 35, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00035.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00036.png', 4.664675668597661
35, 36, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00036.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00037.png', 4.0327163586801085
36, 37, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00037.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00038.png', 5.125866122859466
37, 38, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00038.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00039.png', 4.361706675597481
38, 39, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00039.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00040.png', 4.5847494672365885
39, 40, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00040.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00041.png', 5.863795449822667
40, 41, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00041.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00042.png', 5.4556606040822055
41, 42, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00042.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00043.png', 4.274057789095332
42, 43, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00043.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00044.png', 3.9178433620349002
43, 44, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00044.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00045.png', 3.2373543051828526
44, 45, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00045.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00046.png', 3.5453599968070084
45, 46, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00046.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00047.png', 4.276223482574698
46, 47, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00047.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00048.png', 3.5028050462069684
47, 48, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00048.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00049.png', 3.6814513153302295
48, 49, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00049.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00050.png', 4.2583300345025465
49, 50, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00050.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00051.png', 4.660352253386641
50, 51, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00051.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00052.png', 3.5976484252935754
51, 52, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00052.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00053.png', 4.10817810842276
52, 53, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00053.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00054.png', 4.520491110779989
53, 54, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00054.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00055.png', 3.5952635999577063
54, 55, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00055.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00056.png', 3.7011944212398
55, 56, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00056.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00057.png', 3.7418785457790937
56, 57, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00057.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00058.png', 4.154660024920167
57, 58, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00058.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00059.png', 3.926298734920205
58, 59, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00059.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00060.png', 4.113265353568948
59, 60, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00060.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00061.png', 4.20747932796901
60, 61, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00061.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00062.png', 3.610700142914102
61, 62, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00062.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00063.png', 5.196006602184939
62, 63, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00063.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00064.png', 4.57126387956613
63, 64, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00064.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00065.png', 5.656419615695367
64, 65, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00065.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00066.png', 4.276453800775712
65, 66, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00066.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00067.png', 4.025864593482732
66, 67, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00067.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00068.png', 3.3935344480270895
67, 68, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00068.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00069.png', 3.8780991510409653
68, 69, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00069.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00070.png', 4.604840052263941
69, 70, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00070.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00071.png', 4.621283568000895
70, 71, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00071.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00072.png', 4.397164997963135
71, 72, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00072.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00073.png', 3.9810487283274156
72, 73, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00073.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00074.png', 4.663696832948195
73, 74, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00074.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00075.png', 5.8036516023469575
74, 75, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00075.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00076.png', 4.807412057546361
75, 76, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00076.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00077.png', 4.004394923800256
76, 77, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00077.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00078.png', 5.3921652693413495
77, 78, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00078.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00079.png', 4.504114082428684
78, 79, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00079.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00080.png', 3.9275940586344835
79, 80, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00080.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00081.png', 3.710205718767502
80, 81, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00081.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00082.png', 4.518018050559494
81, 82, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00082.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00083.png', 5.425406288814168
82, 83, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00083.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00084.png', 3.8315177545646883
83, 84, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00084.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00085.png', 4.205259779433089
84, 85, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00085.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00086.png', 4.404810633654216
85, 86, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00086.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00087.png', 4.560096955332127
86, 87, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00087.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00088.png', 5.364585888518023
87, 88, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00088.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00089.png', 5.5710287900213595
88, 89, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00089.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00090.png', 5.091228751194123
89, 90, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00090.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00091.png', 5.541627642633837
90, 91, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00091.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00092.png', 6.038379321669051
91, 92, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00092.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00093.png', 6.3976768795165695
