0, 1, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00002.png', 4.721003201943355
19, 20, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00021.png', 3.749088092973973
20, 21, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00022.png', 4.4049814570209405
21, 22, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00023.png', 5.310821868188075
22, 23, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00024.png', 4.558607778863995
23, 24, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00025.png', 5.048880124787579
24, 25, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00026.png', 6.3597242759478325
25, 26, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00027.png', 5.590480513870721
26, 27, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00028.png', 5.641690382454646
27, 28, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00029.png', 5.620508366303716
28, 29, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00029.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00030.png', 6.7047941798721284
29, 30, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00030.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00031.png', 4.421544897717341
30, 31, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00031.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00032.png', 5.109673006037368
31, 32, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00032.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00033.png', 5.207927007924162
32, 33, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00033.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00034.png', 4.968510793098861
33, 34, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00034.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00035.png', 4.65834416991315
34, 35, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00035.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00036.png', 4.88649341919536
35, 36, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00036.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00037.png', 5.8562570155926945
36, 37, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00037.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00038.png', 5.971389574521265
37, 38, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00038.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00039.png', 6.0711402979562745
38, 39, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00039.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00040.png', 5.87195961202575
39, 40, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00040.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00041.png', 5.249085264140363
40, 41, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00041.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00042.png', 6.270427653918485
41, 42, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00042.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00043.png', 5.930755871992832
42, 43, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00043.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00044.png', 6.0768887277599095
43, 44, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00044.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00045.png', 4.800129937468601
44, 45, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00045.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00046.png', 5.670915419345177
45, 46, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00046.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00047.png', 5.304436838573609
46, 47, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00047.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00048.png', 4.581165046948348
47, 48, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00048.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00049.png', 4.7315913845073885
48, 49, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00049.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00050.png', 3.997837128511852
49, 50, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00050.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00051.png', 5.512025279325187
50, 51, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00051.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00052.png', 4.459259771419933
51, 52, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00052.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00053.png', 4.530824618505302
52, 53, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00053.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00054.png', 5.002532379570771
53, 54, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00054.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00055.png', 4.79108665022896
54, 55, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00055.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00056.png', 5.4439227725416055
55, 56, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00056.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00057.png', 4.5479502304847355
56, 57, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00057.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00058.png', 4.5107270497304395
57, 58, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00058.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00059.png', 4.5445968480064405
58, 59, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00059.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00060.png', 4.766819924394126
59, 60, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00060.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00061.png', 5.516926229911809
60, 61, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00061.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00062.png', 5.083094696270901
61, 62, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00062.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00063.png', 4.621676843723222
62, 63, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00063.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00064.png', 5.278385935179868
63, 64, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00064.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00065.png', 4.1694601418254456
64, 65, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00065.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00066.png', 5.572504991076921
65, 66, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00066.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00067.png', 4.269701143021574
66, 67, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00067.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00068.png', 4.974522643990012
67, 68, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00068.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00069.png', 6.148869277013527
68, 69, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00069.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00070.png', 6.33220465910798
