0, 1, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00002.png', 6.354463865877204
11, 12, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00013.png', 4.348387798187523
12, 13, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00014.png', 4.32534933838935
13, 14, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00015.png', 3.9632072957276034
14, 15, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00016.png', 4.308535584313274
15, 16, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00017.png', 4.172664177668852
16, 17, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00018.png', 4.101638276147208
17, 18, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00019.png', 4.198081039107637
18, 19, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00020.png', 4.200084886449447
19, 20, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00021.png', 3.763937229549084
20, 21, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00022.png', 3.1742367218911904
21, 22, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00023.png', 3.3489224285960866
22, 23, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00024.png', 3.1127374384164277
23, 24, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00025.png', 3.029747382800868
24, 25, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00026.png', 2.906227424461106
25, 26, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00027.png', 3.325451781551007
26, 27, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00028.png', 3.2416676484704094
27, 28, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00029.png', 3.1069668365616936
28, 29, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00030.png', 3.307488268821446
29, 30, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00031.png', 3.3140129873163517
30, 31, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00032.png', 3.128925779993954
31, 32, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00033.png', 4.315820531864198
