0, 1, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0002.png', 6.080402685458418
44, 45, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0046.png', 4.793650364543633
45, 46, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0047.png', 4.852063367576307
46, 47, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0048.png', 5.267369646425471
47, 48, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0049.png', 5.0326521208401145
48, 49, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0050.png', 5.414918774688445
49, 50, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0051.png', 5.1878506010231416
50, 51, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0052.png', 4.731951637332958
51, 52, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0053.png', 5.290509233741624
52, 53, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0054.png', 5.369922081637857
53, 54, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0055.png', 4.751819616092481
54, 55, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0056.png', 4.0896208297938985
55, 56, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0057.png', 4.651113034339817
56, 57, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0058.png', 4.812264846450621
57, 58, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0059.png', 5.342994071181922
58, 59, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0060.png', 5.449245350167246
59, 60, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0061.png', 5.3817810933841805
60, 61, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0062.png', 5.739913850599861
61, 62, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0063.png', 5.575022466499517
62, 63, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0064.png', 5.212260467649362
63, 64, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0065.png', 5.196170598419545
64, 65, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0066.png', 5.284342661338751
