0, 1, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0002.png', 0.062228365007465036
27, 28, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0029.png', 0.28555757363208956
28, 29, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0030.png', 0.2656875736499673
29, 30, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0031.png', 0.33755833896240983
30, 31, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0032.png', 0.2529291565525087
31, 32, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0033.png', 0.23821511132585277
32, 33, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0034.png', 0.26843889883206873
33, 34, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0035.png', 0.28064347149485186
34, 35, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0036.png', 0.2508394269585176
35, 36, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0037.png', 0.2870166096192075
36, 37, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0038.png', 0.30450054076173094
37, 38, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0039.png', 0.33159548181598425
38, 39, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0040.png', 0.32666740697228497
39, 40, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0041.png', 0.3232112995018339
40, 41, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0042.png', 0.2837287200559749
41, 42, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0043.png', 0.2690777522066238
42, 43, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0044.png', 0.2655742258418874
43, 44, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0045.png', 0.2889806465043119
44, 45, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0046.png', 0.2943306454501347
45, 46, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0047.png', 0.3010584468233526
46, 47, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0048.png', 0.2908296437167964
47, 48, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0049.png', 0.30580835811349394
48, 49, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0050.png', 0.3060907583890782
49, 50, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0051.png', 0.3196320946761397
