0, 1, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00002.png', 5.299555792946296
13, 14, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00015.png', 5.543416103961242
14, 15, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00016.png', 5.942337516108035
15, 16, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00017.png', 4.642984433747509
16, 17, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00018.png', 5.604634940958007
17, 18, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00019.png', 5.658608021504288
18, 19, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00020.png', 5.469052306508865
19, 20, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00021.png', 5.729645857799337
20, 21, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00022.png', 5.172718026380939
21, 22, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00023.png', 3.594463185141457
22, 23, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00024.png', 3.547434285266457
23, 24, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00025.png', 3.999502591178194
24, 25, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00026.png', 3.8681558079966942
25, 26, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00027.png', 4.903767424244804
26, 27, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00028.png', 4.176526453267798
27, 28, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00029.png', 4.061822906799269
28, 29, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00030.png', 5.8109704840368135
29, 30, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00031.png', 6.082674334606302
30, 31, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00032.png', 4.523519075502872
31, 32, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00033.png', 4.791335350235219
32, 33, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00034.png', 5.230849491093026
