0, 1, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00002.png', 5.625431180702224
25, 26, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00027.png', 4.186704583436333
26, 27, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00028.png', 3.9659269067834044
27, 28, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00029.png', 4.584680201768163
28, 29, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00030.png', 4.559121262308882
29, 30, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00031.png', 4.940172822381346
30, 31, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00032.png', 4.454441076971415
31, 32, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00033.png', 4.4813263673274575
32, 33, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00034.png', 5.14769581086409
33, 34, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00035.png', 5.429949386916522
34, 35, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00036.png', 5.121955737622958
35, 36, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00037.png', 4.531793118408284
36, 37, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00038.png', 5.113011311343229
37, 38, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00039.png', 4.95106188184467
38, 39, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00040.png', 4.615136334730428
39, 40, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00041.png', 5.035863904032606
40, 41, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00042.png', 5.55202608087376
41, 42, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00043.png', 4.876334709039493
42, 43, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00044.png', 4.302598706221332
43, 44, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00045.png', 4.811769966247409
44, 45, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00046.png', 5.080894459531935
45, 46, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00047.png', 4.9174679872086235
46, 47, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00048.png', 5.011977852681995
47, 48, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00049.png', 5.023650244469387
48, 49, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00050.png', 4.899309452901834
49, 50, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00051.png', 4.501465442177613
50, 51, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00051.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00052.png', 4.973541675381948
51, 52, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00052.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00053.png', 4.926868673723447
