0, 1, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00001.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00002.png', 6.502233240168335
11, 12, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00012.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00013.png', 4.698319901595389
12, 13, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00013.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00014.png', 5.04976878001978
13, 14, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00014.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00015.png', 4.81558587173421
14, 15, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00015.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00016.png', 4.755367733011452
15, 16, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00016.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00017.png', 5.025961761454817
16, 17, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00017.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00018.png', 4.604843691203521
17, 18, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00018.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00019.png', 3.975363580737406
18, 19, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00019.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00020.png', 4.370068625342269
19, 20, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00020.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00021.png', 5.194756966857826
20, 21, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00021.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00022.png', 5.817823525700382
21, 22, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00022.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00023.png', 5.405827791157301
22, 23, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00023.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00024.png', 6.318160829194472
23, 24, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00024.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00025.png', 6.113931025128624
24, 25, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00025.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00026.png', 5.6697416357067
25, 26, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00026.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00027.png', 6.729063934751389
26, 27, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00027.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00028.png', 5.51284502097096
27, 28, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00028.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00029.png', 6.949946981016892
28, 29, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00029.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00030.png', 6.027475308840941
29, 30, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00030.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00031.png', 5.758849325609769
30, 31, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00031.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00032.png', 5.996292040281236
31, 32, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00032.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00033.png', 6.126345669219191
32, 33, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00033.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00034.png', 5.448442516304292
33, 34, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00034.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00035.png', 5.668293339072952
34, 35, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00035.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00036.png', 5.6903348590801714
35, 36, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00036.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00037.png', 5.553735389509722
36, 37, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00037.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00038.png', 6.431937328669712
37, 38, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00038.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00039.png', 6.762081016026199
38, 39, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00039.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00040.png', 6.7391777128238335
39, 40, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00040.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00041.png', 6.3324176753821115
40, 41, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00041.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00042.png', 6.880655597640192
41, 42, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00042.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00043.png', 5.670794036985666
42, 43, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00043.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00044.png', 5.864262995278036
43, 44, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00044.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00045.png', 6.35621610571139
44, 45, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00045.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00046.png', 6.212730628754408
45, 46, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00046.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00047.png', 5.939482759464142
46, 47, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00047.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00048.png', 6.780536354651279
47, 48, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00048.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00049.png', 6.275743508964757
48, 49, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00049.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00050.png', 6.708093028480274
49, 50, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00050.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00051.png', 5.944675587631267
50, 51, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00051.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00052.png', 5.455570275639315
51, 52, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00052.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00053.png', 5.832318691484979
52, 53, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00053.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00054.png', 5.973223571319474
53, 54, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00054.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00055.png', 5.409992282058967
54, 55, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00055.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00056.png', 5.024554065597658
55, 56, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00056.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00057.png', 4.3526844355831775
56, 57, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00057.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00058.png', 5.101002018329373
57, 58, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00058.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00059.png', 5.478262113644999
58, 59, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00059.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00060.png', 5.717157162114519
59, 60, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00060.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00061.png', 6.25041087400868
60, 61, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00061.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00062.png', 5.800571937746165
61, 62, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00062.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00063.png', 7.040217884501666
62, 63, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00063.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00064.png', 4.840659695981757
63, 64, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00064.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00065.png', 6.445723518114227
64, 65, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00065.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00066.png', 5.366598279859007
65, 66, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00066.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00067.png', 5.462688339726607
66, 67, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00067.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00068.png', 5.65335427945617
67, 68, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00068.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00069.png', 5.746820080490074
68, 69, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00069.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00070.png', 5.792242397355588
69, 70, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00070.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00071.png', 5.791575476394775
70, 71, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00071.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00072.png', 6.414559722482721
71, 72, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00072.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00073.png', 5.036940060427484
72, 73, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00073.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00074.png', 5.694671038010201
73, 74, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00074.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00075.png', 5.186100615587338
