0, 1, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00002.png', 4.718541497943672
11, 12, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00013.png', 4.7555625370297525
12, 13, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00014.png', 5.3007491392473325
13, 14, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00015.png', 5.011464588125342
14, 15, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00016.png', 5.006202538089377
15, 16, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00017.png', 4.763199954267516
16, 17, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00018.png', 5.939055779654903
17, 18, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00019.png', 5.195942294367003
18, 19, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00020.png', 4.80662188958343
19, 20, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00021.png', 4.810929792718402
20, 21, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00022.png', 4.765193135159898
21, 22, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00023.png', 5.092401898842897
22, 23, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00024.png', 4.832463286756038
23, 24, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00025.png', 5.239801562482015
24, 25, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00026.png', 5.749575821477951
25, 26, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00027.png', 5.253335988712358
26, 27, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00028.png', 5.174330245390453
27, 28, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00029.png', 4.274238646317027
28, 29, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00030.png', 4.72569366232352
29, 30, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00031.png', 3.68724857118159
30, 31, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00032.png', 5.06236214055735
31, 32, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00033.png', 4.743180835781462
32, 33, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00034.png', 5.265857289807628
33, 34, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00035.png', 5.384764358041534
34, 35, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00036.png', 4.805119868117811
35, 36, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00037.png', 4.687793467523406
36, 37, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00038.png', 4.854858898501913
37, 38, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00039.png', 4.765425345055502
38, 39, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00040.png', 4.92550389630793
39, 40, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00041.png', 4.802997502698785
40, 41, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00042.png', 6.157946471941784
41, 42, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00043.png', 5.605080655287054
42, 43, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00044.png', 5.197631423487857
43, 44, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00045.png', 5.537689654860868
44, 45, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00046.png', 4.158014770765545
45, 46, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00047.png', 4.795955468194061
46, 47, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00048.png', 4.770673253810091
47, 48, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00049.png', 5.360353524007257
48, 49, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00050.png', 5.92722243266137
49, 50, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00051.png', 6.312332114644281
50, 51, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00052.png', 6.266477742060363
51, 52, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00053.png', 4.840251544032685
52, 53, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00053.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00054.png', 4.251473209051488
53, 54, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00054.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00055.png', 5.749383117580153
54, 55, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00055.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00056.png', 5.882726730850085
55, 56, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00056.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00057.png', 4.559176811611664
56, 57, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00057.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00058.png', 5.751656242768715
57, 58, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00058.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00059.png', 5.404150063591495
58, 59, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00059.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00060.png', 5.247392776391548
59, 60, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00060.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00061.png', 6.002633704501908
60, 61, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00061.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00062.png', 6.048057208060645
