0, 1, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0002.png', 0.13714817478791352
38, 39, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0039.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0040.png', 0.12524341023974742
39, 40, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0040.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0041.png', 0.1706080877612826
40, 41, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0041.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0042.png', 0.15605888334852308
41, 42, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0042.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0043.png', 0.15745562493638562
42, 43, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0043.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0044.png', 0.15521876613616162
43, 44, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0044.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0045.png', 0.14429432084374288
44, 45, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0045.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0046.png', 0.17042729413503258
45, 46, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0046.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0047.png', 0.16474230197445272
46, 47, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0047.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0048.png', 0.19100509814115618
47, 48, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0048.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0049.png', 0.20019682261488694
48, 49, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0049.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0050.png', 0.25064554383385834
