0, 1, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00002.png', 5.494068548496682
29, 30, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00030.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00031.png', 3.2525994263378304
30, 31, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00031.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00032.png', 4.345811579920869
31, 32, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00032.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00033.png', 4.339361305225271
32, 33, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00033.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00034.png', 3.2265482171076396
33, 34, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00034.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00035.png', 3.5310714485284795
34, 35, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00035.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00036.png', 4.328055170005866
35, 36, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00036.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00037.png', 4.200066462207718
36, 37, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00037.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00038.png', 4.538085623755113
37, 38, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00038.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00039.png', 4.843538744831493
38, 39, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00039.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00040.png', 4.4036815262344415
39, 40, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00040.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00041.png', 4.63703308418956
40, 41, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00041.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00042.png', 4.2653425758883605
41, 42, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00042.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00043.png', 3.8741677541484862
42, 43, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00043.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00044.png', 3.9963451323076336
43, 44, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00044.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00045.png', 4.116047320257416
44, 45, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00045.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00046.png', 4.241060028350589
45, 46, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00046.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00047.png', 4.627044715255293
46, 47, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00047.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00048.png', 4.716169453367505
47, 48, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00048.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00049.png', 3.729494486513028
48, 49, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00049.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00050.png', 4.621004916041726
49, 50, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00050.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00051.png', 4.003458569580409
50, 51, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00051.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00052.png', 3.5908921033226155
51, 52, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00052.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00053.png', 4.300046762064228
52, 53, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00053.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00054.png', 4.1277055543907855
53, 54, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00054.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00055.png', 4.182955404958688
54, 55, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00055.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00056.png', 4.410209233385223
55, 56, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00056.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00057.png', 3.5967326507972897
56, 57, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00057.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00058.png', 4.510800731223113
57, 58, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00058.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00059.png', 3.748672758482494
58, 59, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00059.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00060.png', 4.986480908531573
59, 60, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00060.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00061.png', 4.502659050664549
60, 61, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00061.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00062.png', 5.414782654962184
61, 62, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00062.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00063.png', 4.131603887883556
62, 63, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00063.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00064.png', 4.694652360547788
63, 64, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00064.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00065.png', 5.323848931475275
64, 65, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00065.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00066.png', 5.3448314804019645
65, 66, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00066.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00067.png', 5.12539737974424
66, 67, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00067.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00068.png', 4.88185081511031
67, 68, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00068.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00069.png', 5.196808513451344
68, 69, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00069.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00070.png', 4.1156520126163265
69, 70, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00070.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00071.png', 4.580023093474009
70, 71, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00071.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00072.png', 5.240361751681634
71, 72, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00072.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00073.png', 5.024422016556332
72, 73, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00073.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00074.png', 4.332160493349192
73, 74, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00074.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00075.png', 4.671481930553916
74, 75, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00075.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00076.png', 4.603998650252328
75, 76, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00076.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00077.png', 5.89450455631706
76, 77, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00077.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00078.png', 6.002343065164066
