0, 1, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00002.png', 5.30557443350579
14, 15, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00016.png', 5.2194951434668475
15, 16, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00017.png', 5.523110986019686
16, 17, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00018.png', 4.5062260061255115
17, 18, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00019.png', 4.454195387956892
18, 19, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00020.png', 5.548254131191412
19, 20, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00021.png', 4.642550649605153
20, 21, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00022.png', 5.385795229080584
21, 22, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00023.png', 5.662882001626089
22, 23, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00024.png', 5.045926670318896
23, 24, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00025.png', 5.864401458563336
24, 25, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00026.png', 5.142359408401511
25, 26, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00027.png', 4.760240179590558
26, 27, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00028.png', 4.924185124380611
27, 28, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00029.png', 5.187174800717596
28, 29, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00030.png', 4.589990775194441
29, 30, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00031.png', 4.026273505794824
30, 31, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00032.png', 5.274474758594129
31, 32, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00033.png', 5.319399267485323
32, 33, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00034.png', 5.957607994905276
33, 34, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00035.png', 5.299275421943362
34, 35, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00036.png', 5.007735515554308
35, 36, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00037.png', 5.935720398955994
36, 37, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00038.png', 5.551452326646029
37, 38, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00039.png', 5.654068648247147
38, 39, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00040.png', 5.061323644512139
39, 40, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00041.png', 4.250312698121958
